fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2012,16876.27,0.0,0.0,177.0,1.0,1,USMC,333512.0,Z2QA,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,
2013,20756.4,0.0,0.0,378.0,1.0,1,USMC,333515.0,Z2QA,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,
2013,14404.73,0.0,0.0,50.0,3.0,1,USMC,332311.0,Z2PZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2016,144605.02,-0.9580297419826781,0.0,149.0,1.0,2,USMC,811310.0,Z2ND,FIRM FIXED PRICE,COMPETED UNDER SAP,
2017,124017.92,0.0,0.0,171.0,1.0,1,USMC,221320.0,Z2NZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2017,105000.0,0.0,0.0,92.0,1.0,1,USMC,811412.0,Z2NZ,FIRM FIXED PRICE,NOT COMPETED,
2017,135287.65,-1.0,0.0,164.0,1.0,2,USMC,237110.0,Z2ND,FIRM FIXED PRICE,COMPETED UNDER SAP,
2017,9933.0,0.0,0.0,121.0,2.0,1,USMC,811310.0,Z1CZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2017,31800.0,0.0,0.0,9.0,2.0,1,USMC,541350.0,Z1CZ,FIRM FIXED PRICE,COMPETED UNDER SAP,OH
2018,21321.0,0.0,0.0,385.0,4.0,1,USMC,541350.0,Z1CZ,FIRM FIXED PRICE,COMPETED UNDER SAP,NJ
2019,142481.04,0.0,0.0,236.0,1.0,1,USMC,237110.0,Z2ND,FIRM FIXED PRICE,COMPETED UNDER SAP,
2011,263628.85,-1.3601869825703825,946.0,49.0,3.0,14,USMC,541990.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,CA
2011,358884.16,-1.5978322643161516,1096.0,305.0,1.0,23,USMC,561990.0,Z299,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,FL
2011,425656.06,0.32722285217788266,0.0,242.0,1.0,2,USMC,237990.0,Z299,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,NC
2011,3677241.05,-1.0,455.0,215.0,1.0,3,USMC,236220.0,Y199,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,CA
2015,1590586.26,-1.021989954823324,0.0,119.0,1.0,2,USMC,561990.0,Z2AA,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,AK
2015,3689984.18,0.0,0.0,129.0,1.0,1,USMC,561990.0,Z2AA,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,AK
2014,27776.0,0.0,1096.0,35.0,3.0,1,USMC,238910.0,Y1BZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2011,3960.0,0.0,0.0,30.0,3.0,1,USMC,236220.0,Y159,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2011,13312.0,0.0,0.0,27.0,1.0,1,USMC,423390.0,Y163,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2012,600000.0,0.0,0.0,364.0,1.0,1,NAVAIR,541330.0,Z2BF,FIRM FIXED PRICE,NOT COMPETED,CA
2016,476043.81,-1.0,1460.0,378.0,1.0,5,NAVSEA,561210.0,Z1PZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,DC
2016,23663.17,0.37995374246138636,-282.0,246.0,1.0,2,NAVSUP,325998.0,Z1AA,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,HI
2011,31645.78,0.0,0.0,17.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,123112.17,0.0,0.0,8.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,114487.38,0.0,0.0,14.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,7421.23,0.0,0.0,14.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,83055.91,0.0,0.0,14.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,38537.42,0.0,0.0,15.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,38689.58,0.0,0.0,30.0,3.0,1,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,51106.52,-1.0,0.0,15.0,3.0,2,SPAWAR,541850.0,Z292,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2013,4649.0,0.0,0.0,13.0,1.0,1,NAVSUP,238990.0,Z2AA,FIRM FIXED PRICE,NOT COMPETED,RI
2017,13026.58,0.0,0.0,32.0,1.0,1,NAVSUP,337214.0,Y1AB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,RI
2018,41947.6,0.0,0.0,558.0,1.0,1,NAVSUP,337214.0,Y1AB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,RI
2009,37097.69,0.0,0.0,364.0,1.0,1,ONR,333132.0,Z232,FIRM FIXED PRICE,NOT COMPETED,IL
2010,35163.9,0.0,0.0,366.0,1.0,1,ONR,333132.0,Z232,FIRM FIXED PRICE,NOT COMPETED,IL
2011,6132.56,0.0,0.0,4.0,2.0,1,NAVSUP,238220.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,ME
2011,94423.64,-1.0,0.0,172.0,1.0,3,NAVSUP,561990.0,Z291,FIRM FIXED PRICE,COMPETED UNDER SAP,FL
2011,14969.32,-1.0,0.0,30.0,3.0,3,NAVSUP,238390.0,Z129,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2011,7069.0,0.0,0.0,353.0,1.0,1,NAVSUP,811213.0,Z112,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,VA
2011,81720.0,-1.0,365.0,380.0,1.0,2,NAVSUP,811412.0,Z164,FIRM FIXED PRICE,COMPETED UNDER SAP,CT
2011,29845.0,0.0,0.0,14.0,1.0,1,NAVSUP,238220.0,Z242,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,VA
2011,118460.0,0.0,0.0,84.0,1.0,1,NAVSUP,335211.0,Z199,FIRM FIXED PRICE,NOT COMPETED,PA
2012,236133.38,-0.9738953044249822,20.0,57.0,1.0,3,NAVSUP,238350.0,Z1AZ,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,VA
2012,4148.0,0.0,0.0,366.0,3.0,1,NAVSUP,811310.0,Z2NZ,FIRM FIXED PRICE,COMPETED UNDER SAP,ME
2012,14630.0,0.0,0.0,30.0,3.0,1,NAVSUP,713990.0,Z1PZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2012,17990.0,-1.625,0.0,364.0,1.0,2,NAVSUP,811310.0,Z1EA,FIRM FIXED PRICE,NOT COMPETED,GA
2012,14682.0,-1.3872306225309903,0.0,273.0,1.0,2,NAVSUP,811213.0,Z1AB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,VA
2012,126507.0,-0.9649031278901563,20.0,83.0,1.0,3,NAVSUP,238350.0,Z1AZ,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,VA
2013,26909.5,-1.0,0.0,365.0,1.0,2,NAVSUP,811213.0,Z1AB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,VA
2013,13990.0,0.0,0.0,364.0,1.0,1,NAVSUP,811310.0,Z1EA,FIRM FIXED PRICE,NOT COMPETED,GA
2013,93990.0,-1.0,24.0,180.0,1.0,2,NAVSUP,713990.0,Z2BG,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,IL
2013,2894.0,0.0,0.0,21.0,1.0,1,NAVSUP,238290.0,Z2EB,FIRM FIXED PRICE,COMPETED UNDER SAP,MA
2013,59155.89,-1.0,0.0,87.0,1.0,3,NAVSUP,334220.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,NJ
